_id|_labels|CENTROID|CFS_AREA|DESCRIPTION|FULL_GEOID|INTPTLAT|INTPTLON|MA|NAME|STATE|STUSPS|_start|_end|_type
0|:MetroArea|{"crs":"wgs-84","latitude":38.18624588251113,"longitude":-120.45222850371418,"height":null}|06-99999|Remainder of California, California|E330000US0699999999|+39.5769252|-120.5219926|99999|California|06|CA|||
1|:MetroArea|{"crs":"wgs-84","latitude":40.693663339154774,"longitude":-112.56131875230352,"height":null}|49-482|Salt Lake City-Provo-Orem, UT CFS Area; Utah|E330000US4948200000|+41.0375594|-112.2019434|482|Utah|49|UT|||
2|:MetroArea|{"crs":"wgs-84","latitude":34.46886218112221,"longitude":-116.64643790419791,"height":null}|06-348|Los Angeles-Long Beach, CA CFS Area; California|E330000US0634800000|+34.3587415|-119.1331432|348|California|06|CA|||
3|:MetroArea|{"crs":"wgs-84","latitude":36.879993452562346,"longitude":-119.67934045858435,"height":null}|06-260|Fresno-Madera, CA CFS Area; California|E330000US0626000000|+36.7610058|-119.6550193|260|California|06|CA|||
4|:MetroArea|{"crs":"wgs-84","latitude":34.671412161371684,"longitude":-82.29318289569409,"height":null}|45-273|Greenville-Spartanburg-Anderson, SC CFS Area; South Carolina|E330000US4527300000|+34.1557959|-082.1278759|273|South Carolina|45|SC|||
5|:MetroArea|{"crs":"wgs-84","latitude":30.262609025602675,"longitude":-97.65444655424439,"height":null}|48-12420|Austin-Round Rock, TX CFS Area; Texas|E330000US4899912420|+29.8323986|-097.6281410|12420|Texas|48|TX|||
6|:MetroArea|{"crs":"wgs-84","latitude":38.683297178832404,"longitude":-75.33954164751324,"height":null}|10-99999|Remainder of Delaware, Delaware|E330000US1099999999|+38.6732275|-075.3370237|99999|Delaware|10|DE|||
7|:MetroArea|{"crs":"wgs-84","latitude":41.46905770262641,"longitude":-73.1725876549543,"height":null}|09-408|New York-Newark, NY-NJ-CT-PA CFS Area (CT Part); Connecticut|E330000US0940800000|+41.3497173|-072.9002037|408|Connecticut|09|CT|||
8|:MetroArea|{"crs":"wgs-84","latitude":41.73262858054332,"longitude":-88.28154848372742,"height":null}|17-176|Chicago-Naperville, IL-IN-WI CFS Area (IL Part); Illinois|E330000US1717600000|+41.4013043|-089.5283772|176|Illinois|17|IL|||
9|:MetroArea|{"crs":"wgs-84","latitude":46.51693107847127,"longitude":-94.27036833913596,"height":null}|27-99999|Remainder of Minnesota, Minnesota|E330000US2799999999|+43.6791869|-092.0939369|99999|Minnesota|27|MN|||
10|:MetroArea|{"crs":"wgs-84","latitude":45.251715848544414,"longitude":-85.8983973238123,"height":null}|26-99999|Remainder of Michigan, Michigan|E330000US2699999999|+45.5382374|-087.4929489|99999|Michigan|26|MI|||
11|:MetroArea|{"crs":"wgs-84","latitude":32.882507882940395,"longitude":-96.8650974676032,"height":null}|48-206|Dallas-Fort Worth, TX-OK CFS Area (TX Part); Texas|E330000US4820600000|+33.5911611|-096.1049882|206|Texas|48|TX|||
12|:MetroArea|{"crs":"wgs-84","latitude":37.76121700243486,"longitude":-122.00855430157795,"height":null}|06-488|San Jose-San Francisco-Oakland, CA CFS Area; California|E330000US0648800000|+38.5251824|-122.9261095|488|California|06|CA|||
13|:MetroArea|{"crs":"wgs-84","latitude":47.478043064010265,"longitude":-120.09125695881981,"height":null}|53-99999|Remainder of Washington, Washington|E330000US5399999999|+46.2946377|-123.4244583|99999|Washington|53|WA|||
14|:MetroArea|{"crs":"wgs-84","latitude":35.38604034915484,"longitude":-80.81291672131417,"height":null}|37-172|Charlotte-Concord, NC-SC CFS Area (NC Part); North Carolina|E330000US3717200000|+35.4884913|-081.2268916|172|North Carolina|37|NC|||
15|:MetroArea|{"crs":"wgs-84","latitude":39.52408270484373,"longitude":-74.90540794493711,"height":null}|34-428|Philadelphia-Reading-Camden, PA-NJ-DE-MD CFS Area (NJ Part); New Jersey|E330000US3442800000|+39.8023521|-074.9612507|428|New Jersey|34|NJ|||
16|:MetroArea|{"crs":"wgs-84","latitude":42.75719733180928,"longitude":-78.74105459503141,"height":null}|36-160|Buffalo-Cheektowaga, NY CFS Area; New York|E330000US3616000000|+42.7527590|-078.7781922|160|New York|36|NY|||
17|:MetroArea|{"crs":"wgs-84","latitude":41.613684458543325,"longitude":-72.0583765605714,"height":null}|09-99999|Remainder of Connecticut, Connecticut|E330000US0999999999|+41.4726517|-072.1086339|99999|Connecticut|09|CT|||
18|:MetroArea|{"crs":"wgs-84","latitude":35.95688536561265,"longitude":-86.76276903034223,"height":null}|47-400|Nashville-Davidson-Murfreesboro, TN CFS Area; Tennessee|E330000US4740000000|+35.8433688|-086.4172127|400|Tennessee|47|TN|||
19|:MetroArea|{"crs":"wgs-84","latitude":23.71863763017312,"longitude":-164.73674157280357,"height":null}|15-46520|Urban Honolulu, HI CFS Area; Hawaii|E330000US1599946520|+21.4613654|-158.2019740|46520|Hawaii|15|HI|||
